date,unscheduled,forecast,confcall,Rate,RateDiff,RateDecision,ChairPerson,GDP_date,GDP_value,GDP_diff_prev,GDP_diff_year,GDPPOT_date,GDPPOT_value,GDPPOT_diff_prev,GDPPOT_diff_year,PCE_date,PCE_value,PCE_diff_prev,PCE_diff_year,CPI_date,CPI_value,CPI_diff_prev,CPI_diff_year,Unemp_date,Unemp_value,Unemp_diff_prev,Unemp_diff_year,Employ_date,Employ_value,Employ_diff_prev,Employ_diff_year,PMI_date,PMI_value,PMI_diff_prev,PMI_diff_year,NMI_date,NMI_value,NMI_diff_prev,NMI_diff_year,Rsales_date,Rsales_value,Rsales_diff_prev,Rsales_diff_year,Hsales_date,Hsales_value,Hsales_diff_prev,Hsales_diff_year,Taylor,Balanced,Inertia,Taylor-Rate,Balanced-Rate,Inertia-Rate,Taylor_diff,Balanced_diff,Inertia_diff
2016-12-14,False,True,False,0.5,0.25,1,,2016-07-01,17764.388,0.5443960543129239,1.5919402132709228,2016-07-01,18059.31,0.4203246046980276,1.7423609523841568,2016-10-01,106.694,0.15676776779595933,1.839319633090579,2016-11-01,242.026,0.11789477167712409,1.6843334719788983,2016-11-01,-4.7,0.20000000000000018,0.39999999999999947,2016-11-01,145201.0,130.0,2377.0,2016-11-01,53.5,1.5,5.100000000000001,2016-11-01,56.2,1.6000000000000014,0.30000000000000426,2016-11-01,191057.0,-0.19589201387437838,1.2528286687900452,2016-11-01,571.0,-0.6956521739130435,13.293650793650794,2.935701341631402,2.112423233626936,-0.10436348504404044,2.685701341631402,1.8624232336269362,-0.35436348504404047,0.2041547835483879,0.2041547835483879,-0.030623217532258218
2017-02-01,False,False,False,0.5,0.0,0,,2016-10-01,17876.179,0.6292983467823439,2.067578611974757,2016-10-01,18134.2,0.4146891547905175,1.7117037279671024,2016-12-01,106.897,0.1292631066233341,1.8415837811059095,2016-12-01,242.637,0.25245221587762884,2.0507989115119822,2016-12-01,-4.7,0.0,0.2999999999999998,2016-12-01,145415.0,214.0,2318.0,2016-12-01,54.5,1.0,6.5,2016-12-01,56.6,0.3999999999999986,1.3000000000000043,2016-12-01,192906.0,0.9677740150845036,1.744207511642994,2016-12-01,561.0,-1.7513134851138354,2.7472527472527473,2.960636169637091,2.2441054835151277,0.08838417747273086,2.460636169637091,1.7441054835151277,-0.41161582252726914,0.024934828005688914,0.13168224988819155,0.1927476625167713
2017-03-15,False,True,False,0.75,0.25,1,,2016-10-01,17876.179,0.6292983467823439,2.067578611974757,2016-10-01,18134.2,0.4146891547905175,1.7117037279671024,2017-01-01,107.172,0.2572569856965036,1.8871153279397639,2017-02-01,243.872,0.10343978326902946,2.7539016415545894,2017-02-01,-4.6,0.10000000000000053,0.3000000000000007,2017-02-01,145795.0,183.0,2378.0,2017-02-01,57.6,1.6000000000000014,7.899999999999999,2017-02-01,57.4,0.8999999999999986,3.1000000000000014,2017-02-01,193952.0,-0.20683906685738393,1.7634620732353574,2017-02-01,601.0,3.9792387543252596,16.247582205029012,3.1141423057876825,2.397611619665719,0.06535825705014214,2.6141423057876825,1.8976116196657191,-0.43464174294985786,0.1535061361505914,0.1535061361505914,-0.02302592042258872
2017-05-03,False,False,False,0.75,0.0,0,,2017-01-01,17977.299,0.565668983287754,2.0668230488113952,2017-01-01,18209.51,0.41529265145414557,1.6901343954216306,2017-03-01,107.25,-0.07639846457719379,1.671295989079228,2017-03-01,243.766,-0.043465424484985145,2.388272849462356,2017-03-01,-4.4,0.1999999999999993,0.5999999999999996,2017-03-01,145934.0,139.0,2280.0,2017-03-01,56.6,-1.0,4.899999999999999,2017-03-01,55.6,-1.7999999999999972,0.7000000000000028,2017-03-01,193628.0,-0.1670516416432932,2.2533679057461677,2017-03-01,643.0,6.988352745424292,20.86466165413534,2.8652344938290097,2.2235250040391774,0.30397124939412334,2.1152344938290097,1.4735250040391774,-0.44602875060587666,-0.24890781195867273,-0.1740866156265417,0.2386129923439812
2017-06-14,False,True,False,1.0,0.5,1,,2017-01-01,17977.299,0.565668983287754,2.0668230488113952,2017-01-01,18209.51,0.41529265145414557,1.6901343954216306,2017-04-01,107.491,0.2247086247086244,1.654025836469894,2017-05-01,244.069,-0.0839221529921369,1.8834765838610439,2017-05-01,-4.4,0.09999999999999964,0.39999999999999947,2017-05-01,146295.0,141.0,2403.0,2017-05-01,55.5,0.20000000000000284,4.5,2017-05-01,57.1,-0.19999999999999574,3.5,2017-05-01,193392.0,-0.4124762478565139,1.9456934860649127,2017-05-01,627.0,3.80794701986755,9.807355516637479,2.839329264915009,2.1976197751251765,0.3078570337312235,2.089329264915009,1.4476197751251765,-0.4421429662687765,-0.025905228914000933,-0.025905228914000933,0.003885784337100129
2017-07-26,False,False,False,1.0,0.0,0,,2017-01-01,17977.299,0.565668983287754,2.0668230488113952,2017-01-01,18209.51,0.41529265145414557,1.6901343954216306,2017-05-01,107.601,0.10233414890548924,1.6043134218428339,2017-06-01,244.218,0.06104831010902692,1.6634612982990653,2017-06-01,-4.3,0.10000000000000053,0.6000000000000005,2017-06-01,146506.0,211.0,2356.0,2017-06-01,56.7,1.2000000000000028,3.9000000000000057,2017-06-01,57.2,0.10000000000000142,1.1000000000000014,2017-06-01,193994.0,0.31128485149333995,1.5170464951987233,2017-06-01,612.0,-2.3923444976076556,9.874326750448834,2.7647606429744185,2.123051153184586,0.5315423270223121,1.7647606429744185,1.1230511531845861,-0.4684576729776879,-0.07456862194059033,-0.07456862194059033,0.2236852932910886
2017-09-20,False,True,False,1.0,0.5,1,,2017-04-01,18054.052,0.426944003100803,2.183861029896466,2017-04-01,18284.5,0.4118177809287653,1.672512694815082,2017-07-01,107.841,0.07052382498955449,1.5279896062814122,2017-08-01,245.205,0.3786638283936513,1.9372674551539317,2017-08-01,-4.4,-0.10000000000000053,0.5,2017-08-01,146924.0,190.0,2260.0,2017-08-01,59.3,2.799999999999997,9.899999999999999,2017-08-01,55.2,0.9000000000000057,3.5,2017-08-01,193594.0,-0.22110780680640957,1.506388913648733,2017-08-01,550.0,-0.5424954792043399,-4.3478260869565215,2.657806444954444,2.023628480486769,0.5464557279269846,1.6578064449544438,1.023628480486769,-0.4535442720730154,-0.10695419801997463,-0.09942267269781713,0.014913400904672525
2017-11-01,False,False,False,1.0,0.0,0,,2017-07-01,18185.636,0.7288336158553156,2.3713060084028768,2017-07-01,18362.05,0.4241297273647038,1.6763652653395835,2017-09-01,108.157,0.17226847949911814,1.5301285120204224,2017-09-01,246.551,0.5489284476254461,2.2286628851958734,2017-09-01,-4.2,0.20000000000000018,0.7999999999999998,2017-09-01,146966.0,42.0,2013.0,2017-09-01,60.2,0.9000000000000057,8.5,2017-09-01,59.4,4.199999999999996,2.799999999999997,2017-09-01,196464.0,1.4824839612797918,2.709626152100836,2017-09-01,622.0,13.090909090909092,11.469534050179211,2.6963001439898173,2.2136009927012603,0.5179598510948109,1.6963001439898173,1.2136009927012603,-0.4820401489051891,0.038493699035373474,0.1899725122144913,-0.028495876832173694
2017-12-13,False,True,False,1.25,0.25,1,,2017-07-01,18185.636,0.7288336158553156,2.3713060084028768,2017-07-01,18362.05,0.4241297273647038,1.6763652653395835,2017-10-01,108.458,0.2782991392142921,1.6533263351266199,2017-11-01,247.378,0.2923087526402961,2.211332666738274,2017-11-01,-4.2,-0.10000000000000053,0.5,2017-11-01,147411.0,196.0,2210.0,2017-11-01,58.2,-0.29999999999999716,4.700000000000003,2017-11-01,57.3,-2.5,1.0999999999999943,2017-11-01,198080.0,0.725643646422887,3.6758663644880847,2017-11-01,718.0,14.879999999999999,25.74430823117338,2.9972903514013725,2.5145912001128155,0.4728113199830777,1.9972903514013725,1.5145912001128155,-0.5271886800169223,0.30099020741155513,0.30099020741155513,-0.045148531111733226
2018-01-31,False,False,False,1.25,0.0,0,,2017-10-01,18359.432,0.9556773268749144,2.7033349800312507,2017-10-01,18441.6,0.4332304944164691,1.6951395705352197,2017-11-01,108.532,0.06822917627099713,1.6607499133562476,2017-12-01,247.736,0.14471780028943726,2.1014931770504868,2017-12-01,-4.1,0.10000000000000053,0.6000000000000005,2017-12-01,147590.0,179.0,2175.0,2017-12-01,59.3,1.0999999999999943,4.799999999999997,2017-12-01,56.0,-1.2999999999999972,-0.6000000000000014,2017-12-01,198760.0,0.34329563812600966,3.034638632287228,2017-12-01,658.0,-8.356545961002785,17.290552584670234,3.0084257187458143,2.5257265674572573,0.6836410148814114,1.7584257187458143,1.2757265674572573,-0.5663589851185886,0.011135367344441871,0.011135367344441871,0.2108296948983337
2018-03-21,False,True,False,1.5,0.25,1,,2017-10-01,18359.432,0.9556773268749144,2.7033349800312507,2017-10-01,18441.6,0.4332304944164691,1.6951395705352197,2018-01-01,108.991,0.27416668966722957,1.6972716754376167,2018-02-01,249.3,0.23279095854391377,2.225757774570265,2018-02-01,-4.1,-0.09999999999999964,0.5,2018-02-01,148049.0,378.0,2254.0,2018-02-01,60.7,1.6000000000000014,3.1000000000000014,2018-02-01,59.5,-0.3999999999999986,2.1000000000000014,2018-02-01,198058.0,0.22772357394437473,2.1170186437881537,2018-02-01,644.0,5.573770491803279,7.154742096505824,3.3226307948767615,3.099354076597098,0.5975968885104354,2.0726307948767615,1.849354076597098,-0.6524031114895646,0.31420507613094717,0.5736275091398406,-0.08604412637097603
2018-05-02,False,False,False,1.5,0.0,0,,2018-01-01,18530.483,0.9316791499867724,3.077125212191226,2018-01-01,18523.9,0.4462736422002588,1.72651543067333,2018-03-01,109.442,0.21977619457518627,2.0438228438228374,2018-03-01,249.517,0.08704372242277758,2.3592297531238997,2018-03-01,-4.0,0.09999999999999964,0.40000000000000036,2018-03-01,148244.0,195.0,2310.0,2018-03-01,59.3,-1.4000000000000057,2.6999999999999957,2018-03-01,58.8,-0.7000000000000028,3.1999999999999957,2018-03-01,197731.0,-0.16510315160205596,2.119011713181978,2018-03-01,680.0,5.590062111801243,5.7542768273716955,4.083500045478118,4.101265825221979,0.659810126216703,2.583500045478118,2.6012658252219794,-0.840189873783297,0.7608692506013566,1.0019117486248814,0.06221323770626763
2018-06-13,False,True,False,1.75,0.25,1,,2018-01-01,18530.483,0.9316791499867724,3.077125212191226,2018-01-01,18523.9,0.4462736422002588,1.72651543067333,2018-04-01,109.639,0.18000402039436664,1.9983068349908328,2018-05-01,250.786,0.2041754070522408,2.752090597331088,2018-05-01,-3.8,0.20000000000000018,0.6000000000000005,2018-05-01,148667.0,270.0,2372.0,2018-05-01,58.7,0.8000000000000043,3.200000000000003,2018-05-01,58.6,1.8000000000000043,1.5,2018-05-01,199660.0,0.9444264682090278,3.2410854637213533,2018-05-01,680.0,3.343465045592705,8.452950558213717,4.01522603223011,4.032991811973972,0.6700512282039042,2.5152260322301103,2.5329918119739716,-0.8299487717960958,-0.06827401324800775,-0.06827401324800775,0.010241101987201184
2018-08-01,False,False,False,1.75,0.0,0,,2018-04-01,18654.383,0.6686280114770967,3.325187054961412,2018-04-01,18609.58,0.4625375865773422,1.777899313626305,2018-06-01,109.993,0.11286168072886368,2.067461606272903,2018-06-01,251.152,0.1459411609898421,2.839266556928645,2018-06-01,-4.0,-0.20000000000000018,0.2999999999999998,2018-06-01,148881.0,214.0,2375.0,2018-06-01,60.0,1.2999999999999972,3.299999999999997,2018-06-01,59.1,0.5,1.8999999999999986,2018-06-01,198936.0,-0.3626164479615346,2.5475014691176017,2018-06-01,598.0,-12.058823529411764,-2.287581699346405,4.281912153295,4.402143653064474,0.8271784520403289,2.531912153295,2.652143653064474,-0.9228215479596711,0.26668612106488965,0.3691518410905026,0.15712722383642475
2018-09-26,False,True,False,2.0,0.25,1,,2018-04-01,18654.383,0.6686280114770967,3.325187054961412,2018-04-01,18609.58,0.4625375865773422,1.777899313626305,2018-07-01,110.136,0.13000827325375314,2.128133084819319,2018-08-01,251.735,0.15516521116394388,2.6630778328337517,2018-08-01,-3.8,0.0,0.6000000000000005,2018-08-01,149259.0,229.0,2335.0,2018-08-01,60.8,2.3999999999999986,1.5,2018-08-01,58.8,3.0999999999999943,3.5999999999999943,2018-08-01,199381.0,-0.3633038159393927,2.9892455344690436,2018-08-01,582.0,-3.0,5.818181818181818,4.312431126998454,4.432662626767928,0.8226006059848109,2.5624311269984537,2.682662626767928,-0.9273993940151891,0.03051897370345369,0.03051897370345369,-0.004577846055518031
2018-11-08,False,False,False,2.0,0.0,0,,2018-07-01,18752.355,0.5251956068447716,3.116300139296756,2018-07-01,18698.14,0.4758839264507725,1.8303511862782216,2018-09-01,110.401,0.21786294605168335,2.074761689026138,2018-09-01,252.183,0.17796492343137785,2.2843144014828596,2018-10-01,-3.8,-0.09999999999999964,0.2999999999999998,2018-10-01,149576.0,212.0,2361.0,2018-10-01,57.5,-2.0,-1.0,2018-10-01,60.0,-0.7999999999999972,0.20000000000000284,2018-10-01,200084.0,0.8426909662722013,1.7446975128780136,2018-10-01,546.0,-6.506849315068493,-12.64,4.256907076364045,4.401671619188883,1.0397492571216675,2.256907076364045,2.4016716191888827,-0.9602507428783325,-0.055524050634408795,-0.03099100757904516,0.21714865113685666
2018-12-19,False,True,False,2.25,0.25,1,,2018-07-01,18752.355,0.5251956068447716,3.116300139296756,2018-07-01,18698.14,0.4758839264507725,1.8303511862782216,2018-10-01,110.528,0.11503518989865087,1.9085729037968684,2018-11-01,252.822,-0.03044693731489574,2.200680739596899,2018-11-01,-3.8,0.0,0.40000000000000036,2018-11-01,149668.0,92.0,2257.0,2018-11-01,58.8,1.2999999999999972,0.5999999999999943,2018-11-01,60.4,0.3999999999999986,3.1000000000000014,2018-11-01,200526.0,0.22090721896803342,1.234854604200323,2018-11-01,618.0,13.186813186813188,-13.92757660167131,4.007623898520141,4.1523884413449785,1.0771417337982532,2.0076238985201407,2.1523884413449785,-0.9228582662017468,-0.2492831778439042,-0.2492831778439042,0.03739247667658563
2019-01-30,False,False,False,2.25,0.0,0,,2018-07-01,18752.355,0.5251956068447716,3.116300139296756,2018-07-01,18698.14,0.4758839264507725,1.8303511862782216,2018-11-01,110.746,0.19723508975100362,2.039951350753694,2018-12-01,252.493,-0.13013108036484472,1.920189233700393,2018-12-01,-3.9,-0.10000000000000009,0.19999999999999973,2018-12-01,149908.0,240.0,2318.0,2018-12-01,54.3,-4.5,-5.0,2018-12-01,58.0,-2.3999999999999986,2.0,2018-12-01,196676.0,-1.9199505301058215,-1.048500704367076,2018-12-01,566.0,-8.414239482200648,-13.98176291793313,4.204691568955379,4.349456111780217,1.2600815832329673,1.9546915689553792,2.099456111780217,-0.9899184167670327,0.19706767043523854,0.19706767043523854,0.18293984943471409
