ds,yhat,yhat_lower,yhat_upper,recession
1971-05-01,2.3475883579382097,1.536941275687004,3.154215447155423,Non-recessionary Period
1971-06-01,2.3992351475622637,1.5982334765496935,3.20985143654334,Non-recessionary Period
1971-07-01,2.4038226739691857,1.5761408765742377,3.203730204195173,Non-recessionary Period
1971-08-01,2.2787972385542696,1.4679544029696403,3.0735879409660782,Non-recessionary Period
1971-09-01,2.1710011518180914,1.3583028586427874,2.9652816238040183,Non-recessionary Period
1971-10-01,2.084242545319895,1.2728071706211046,2.8961548692761845,Non-recessionary Period
1971-11-01,1.9396492376419339,1.1297723684732779,2.7533429696030924,Non-recessionary Period
1971-12-01,1.7958094356266263,0.9844422460963876,2.60015613093466,Non-recessionary Period
1972-01-01,1.723809626602742,0.9331365296456847,2.525452982789809,Non-recessionary Period
1972-02-01,1.6524658318218393,0.8555168642564597,2.462367760047791,Non-recessionary Period
1972-03-01,1.5567557080997936,0.7588719125070849,2.3701737270913465,Non-recessionary Period
1972-04-01,1.5330107666491315,0.7348550582312248,2.3349348257921134,Non-recessionary Period
1972-05-01,1.4832210912389259,0.6816789781555684,2.3018706472284616,Non-recessionary Period
1972-06-01,1.3373539396662795,0.533501776359364,2.144697718074845,Non-recessionary Period
1972-07-01,1.1588636918710962,0.37021333870229994,1.9580091835347075,Non-recessionary Period
1972-08-01,0.9982336814472454,0.18706242798827546,1.814064236460405,Non-recessionary Period
1972-09-01,0.8970942039727925,0.09329174025396487,1.6977822241218425,Non-recessionary Period
1972-10-01,0.8038251289002334,-0.005139863872069364,1.6033223221260098,Non-recessionary Period
1972-11-01,0.6578948878029321,-0.15141487271827672,1.4564645707195563,Non-recessionary Period
1972-12-01,0.5189680424054123,-0.2982419365675076,1.3361023335160624,Non-recessionary Period
1973-01-01,0.4457648964794192,-0.35679786923120776,1.2653903635452086,Non-recessionary Period
1973-02-01,0.37566897006803585,-0.4192782390496939,1.177960793240992,Non-recessionary Period
1973-03-01,0.2821464684740495,-0.5135057028236688,1.0902434193061676,Non-recessionary Period
1973-04-01,0.2577006456794658,-0.5471837197741956,1.0548743077317653,Non-recessionary Period
1973-05-01,0.20810650868741734,-0.5930406865848902,1.0141421075875465,Non-recessionary Period
1973-06-01,0.06543510981378303,-0.7443401860198052,0.8743326475272204,Non-recessionary Period
1973-07-01,-0.11327287921325539,-0.9205528814467991,0.6908348285981538,Recessionary Period
1973-08-01,-0.2765287597711532,-1.0883816827224193,0.5354774856761472,Recessionary Period
1973-09-01,-0.3772920620071873,-1.1954775394057304,0.4264111793116605,Recessionary Period
1973-10-01,-0.46825557391017647,-1.2855132667483484,0.35222819280241285,Recessionary Period
1973-11-01,-0.6178008337899021,-1.4268469336911527,0.18517759186613328,Recessionary Period
1973-12-01,-0.6786748481152752,-1.4881526237824765,0.13934196663544396,Recessionary Period
1974-01-01,-0.5006609184435103,-1.293283568078718,0.31196541634997543,Recessionary Period
1974-02-01,-0.3398298536007446,-1.144268508430774,0.4746297951394561,Recessionary Period
1974-03-01,-0.20786736123085905,-1.0246316226072043,0.6050367473377978,Recessionary Period
1974-04-01,0.005587236508374045,-0.7966489836195197,0.8133643472237958,Non-recessionary Period
1974-05-01,0.19787330502056533,-0.6098016896562467,1.0047407989963142,Non-recessionary Period
1974-06-01,0.29873913094574406,-0.5019209086678921,1.119887618998066,Non-recessionary Period
