"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","BCI","AMPLITUD","LTRENDIDX","M","1963-07",100.7876,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1963-08",100.6831,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1963-09",100.7706,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1963-10",100.8418,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1963-11",100.7793,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1963-12",100.6751,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1964-01",100.8458,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1964-02",101.109,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1964-03",101.3458,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1964-04",101.4265,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1964-05",101.5183,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1964-06",101.7677,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1964-07",102.0905,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1964-08",102.2539,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1964-09",102.2155,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1964-10",102.0545,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1964-11",102.0104,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1964-12",102.0289,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1965-01",102.0663,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1965-02",102.2125,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1965-03",102.3229,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1965-04",102.1324,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1965-05",101.8069,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1965-06",101.4482,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1965-07",101.2538,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1965-08",101.2604,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1965-09",101.3971,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1965-10",101.478,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1965-11",101.7521,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1965-12",102.2542,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1966-01",102.7203,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1966-02",102.8897,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1966-03",102.7481,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1966-04",102.2877,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1966-05",101.696,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1966-06",101.4611,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1966-07",101.4265,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1966-08",101.3331,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1966-09",101.1615,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1966-10",100.7996,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1966-11",100.2614,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1966-12",99.69421,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1967-01",99.08909,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1967-02",98.54041,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1967-03",98.07055,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1967-04",97.82379,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1967-05",97.99215,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1967-06",98.47083,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1967-07",99.09202,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1967-08",99.69009,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1967-09",100.1191,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1967-10",100.2934,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1967-11",100.3969,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1967-12",100.52,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1968-01",100.5794,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1968-02",100.5266,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1968-03",100.5243,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1968-04",100.6214,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1968-05",100.471,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1968-06",100.227,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1968-07",100.0557,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1968-08",99.95428,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1968-09",100.064,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1968-10",100.4402,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1968-11",100.73,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1968-12",100.7423,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1969-01",100.7013,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1969-02",100.762,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1969-03",100.7668,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1969-04",100.6815,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1969-05",100.6146,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1969-06",100.4528,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1969-07",100.2825,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1969-08",100.2687,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1969-09",100.2565,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1969-10",100.188,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1969-11",99.94819,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1969-12",99.55203,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1970-01",99.05314,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1970-02",98.65606,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1970-03",98.43468,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1970-04",98.42181,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1970-05",98.7123,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1970-06",99.02657,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1970-07",98.9404,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1970-08",98.4931,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1970-09",97.89528,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1970-10",97.4558,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1970-11",97.42268,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1970-12",98.02057,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1971-01",98.84521,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1971-02",99.61369,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1971-03",99.9312,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1971-04",100.1544,
